Track,Album Name,Artist,Release Date,ISRC,Spotify Streams,Spotify Playlist Count
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/22,USUG12208791,"1,337,619,917","228,295"
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/24,QZNJW2423715,,2
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/24,TCJPA2420090,"1,655,575,417",1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/22,GBUM72205415,"1,556,275,789","210,583"
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/24,ROCMA2413380,,2
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/23,RUA1H2406425,"1,384",2
Supernova,Supernova,aespa,5/13/24,KRA302400090,"69,729,033","2,483"
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/22,QM6MZ2214877,"1,811,990,630","173,358"
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/24,USCM52400059,"199,929,812",4
Calm Down,Calm Down,Rema,2/10/22,NGA3B2214004,"584,427,088","182,994"
CARNIVAL,CARNIVAL,ýý$,2/8/24,QZ7XS2400012,"466,887,055","53,842"
Kill Bill,SOS,SZA,12/8/22,USRC12204584,"1,873,746,537","190,202"
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/23,USUM72307484,"891,720,245","114,560"
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/23,QZA742305720,"46,567",252
Heat Waves,Heat Waves,Glass Animals,6/29/20,GBUM72000433,"2,996,181,078","486,278"
In the End,Papercuts,Linkin Park,4/12/24,USWB11201322,"2,045,512,421",97
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/23,UYB282301031,"946,941,510","100,130"
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/23,UKACT2330463,"7,909",38
Old Town Road,Old Town Road,Lil Nas X,3/14/19,USSM11901941,"1,010,494,713","127,393"
un x100to,un x100to,Grupo Frontera,4/17/23,QM6N22311285,"1,008,495,696","99,381"
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/20,NZAM02001128,,"10,230"
Sprinter,Sprinter - Single,Dave,6/1/23,GBUM72305159,"692,512,930","199,828"
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/24,USUM72401988,"169,410,711","11,028"
TQG,TQG,KAROL G,2/23/23,USUM72222541,"1,024,381,758","78,554"
Perfect,ýý (Deluxe),Ed Sheeran,3/3/17,GBAHS1700024,"2,969,999,682","280,165"
Pepas,Pepas,Farruko,6/24/21,USSD12100307,"1,500,499,584","359,502"
Peekaboo,Glide - Single,Dave Angel,1/27/23,GBLTF2300027,"8,082",63
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/23,USE7D2300007,"1,215,336,974","129,463"
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/23,USAT22305457,"860,026,452","74,769"
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/23,MXF152300159,"1,032,225,805","94,887"
redrum,american dream,21 Savage,1/12/24,USSM12309164,"428,233,003","57,311"
Easy On Me,Easy On Me,Adele,10/14/21,USSM12105970,"1,720,918,065","209,635"
